Element_ID	Tag_name	Name	No_clicks	Visible	Version
134	div	montana.summon.serialssolutions.com/advanced/	1	FALSE	Connect
136	div	News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/12 Library Worksho	1	FALSE	Connect
137	div	montana.summon.serialssolutions.com/advanced/	1	FALSE	Connect
138	img	"lib.montana.edu/data:image/gif;base64,R0lGODlhAQABAIAAAP/yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="	1	FALSE	Connect
140	p	Renne: 10:00 am - 9:00 pm	1	FALSE	Connect
141	p	Renne: 7:00 am - 5:00 pm	1	FALSE	Connect
142	div	lib.montana.edu/find/	1	FALSE	Connect
143	div	index2.php	1	FALSE	Connect
69	a	FIND	587	TRUE	Learn
61	input	s.q	325	TRUE	Learn
67	a	lib.montana.edu/find/	142	TRUE	Learn
128	area	Montana State University - Home	83	FALSE	Learn
98	a	Hours	76	TRUE	Learn
78	a	REQUEST	63	TRUE	Learn
62	button	Search	50	TRUE	Learn
96	a	News	45	TRUE	Learn
30	a	slideshow-right	35	TRUE	Learn
64	a	Advanced Search	26	TRUE	Learn
87	a	LEARN	21	TRUE	Learn
76	a	lib.montana.edu/request/	20	TRUE	Learn
50	span	nav-item-dot	13	TRUE	Learn
60	form	Search	13	TRUE	Learn
100	a	Twitter	10	TRUE	Learn
119	a	About MSU Library	10	TRUE	Learn
122	a	Contact Us	9	TRUE	Learn
131	object	faUnit1	9	FALSE	Learn
36	a	nav-item	8	TRUE	Learn
85	a	lib.montana.edu/interact/	7	TRUE	Learn
134	a	databases	7	FALSE	Learn
6	a	Ask A Librarian	6	TRUE	Learn
11	div	.	6	TRUE	Learn
138	p	Renne: 7:00 am - 9:00 pm	6	FALSE	Learn
29	a	slideshow-left	5	TRUE	Learn
101	ul	News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:	5	TRUE	Learn
132	a	Tip of the Week: Submit a Request for the Library to Pu	5	FALSE	Learn
9	div	". Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Fil"	4	TRUE	Learn
8	div	logo-ikd	3	TRUE	Learn
38	span	nav-item-dot	3	TRUE	Learn
40	a	nav-item	3	TRUE	Learn
44	a	nav-item	3	TRUE	Learn
46	span	nav-item-dot	3	TRUE	Learn
54	div	"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,"	3	TRUE	Learn
127	a	Site Index & Site Search	3	TRUE	Learn
137	p	Renne: 10:00 am - 9:00 pm	3	FALSE	Learn
3	img	Montana State University in Bozeman	2	TRUE	Learn
48	a	nav-item	2	TRUE	Learn
55	div	Search Advanced Search	2	TRUE	Learn
73	p	"Find research materials, including articles, books, databases, journals, and course reserves"	2	TRUE	Learn
116	div	Â© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S	2	TRUE	Learn
130	div	TT_Close_Btn	2	FALSE	Learn
15	p	Montana State University Historical Photographs	1	TRUE	Learn
19	div	Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal	1	TRUE	Learn
26	p	Call Us 406.994.3171	1	TRUE	Learn
32	a	nav-item	1	TRUE	Learn
34	span	nav-item-dot	1	TRUE	Learn
42	span	nav-item-dot	1	TRUE	Learn
56	div	logo	1	TRUE	Learn
63	div	Advanced Search	1	TRUE	Learn
105	a	6/17 Library Workshop: Zotero Basics	1	TRUE	Learn
107	a	6/17 Library Workshop: EndNote Web Basics	1	TRUE	Learn
118	a	MSU	1	TRUE	Learn
121	a	Accessibility	1	TRUE	Learn
125	a	Mobile Site	1	TRUE	Learn
129	div	News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/4 Library Workshop	1	FALSE	Learn
133	img	s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png	1	FALSE	Learn
135	center	More Hours	1	FALSE	Learn
136	div	montana.edu	1	FALSE	Learn
139	center	"June 17, 2013"	1	FALSE	Learn
140	strong	"June 17, 2013"	1	FALSE	Learn
141	div	montana.summon.serialssolutions.com/advanced/	1	FALSE	Learn
74	a	FIND	631	TRUE	Help
66	input	s.q	364	TRUE	Help
72	a	lib.montana.edu/find/	139	TRUE	Help
133	area	Montana State University - Home	122	FALSE	Help
83	a	REQUEST	72	TRUE	Help
103	a	Hours	68	TRUE	Help
67	button	Search	59	TRUE	Help
92	a	HELP	38	TRUE	Help
101	a	News	26	TRUE	Help
127	a	Contact Us	17	TRUE	Help
81	a	lib.montana.edu/request/	15	TRUE	Help
35	a	slideshow-right	14	TRUE	Help
69	a	Advanced Search	14	TRUE	Help
6	a	Ask A Librarian	10	TRUE	Help
55	span	nav-item-dot	10	TRUE	Help
105	a	Twitter	9	TRUE	Help
134	a	slideshow-left	8	FALSE	Help
135	a	Tip of the Week: Submit a Request for the Library to Pu	8	FALSE	Help
90	a	lib.montana.edu/interact/	7	TRUE	Help
68	div	Advanced Search	6	TRUE	Help
112	a	6/17 Library Workshop: EndNote Web Basics	6	TRUE	Help
124	a	About MSU Library	6	TRUE	Help
65	form	Search	5	TRUE	Help
15	div	"Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Film"	4	TRUE	Help
45	a	nav-item	4	TRUE	Help
59	div	"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,"	4	TRUE	Help
78	p	"Find research materials, including articles, books, databases, journals, and course reserves"	4	TRUE	Help
8	div	logo-ikd	3	TRUE	Help
11	div	.	3	TRUE	Help
41	a	nav-item	3	TRUE	Help
132	a	Site Index & Site Search	3	TRUE	Help
1	div	Ask A Librarian	2	TRUE	Help
5	div	Ask A Librarian	2	TRUE	Help
20	div	Montana State University Historical Photographs	2	TRUE	Help
23	div	Indian Peoples of the Northern Great Plains	2	TRUE	Help
49	a	nav-item	2	TRUE	Help
53	a	nav-item	2	TRUE	Help
61	div	logo	2	TRUE	Help
110	a	6/17 Library Workshop: Zotero Basics	2	TRUE	Help
118	a	Twitter	2	TRUE	Help
2	div	Ask A Librarian	1	TRUE	Help
3	img	Montana State University in Bozeman	1	TRUE	Help
17	p	Science & Natural History Filmmaking Archive	1	TRUE	Help
26	p	Meet with a librarian for help with your research topic	1	TRUE	Help
51	span	nav-item-dot	1	TRUE	Help
63	img	label for catsearch	1	TRUE	Help
84	div	triangle-l	1	TRUE	Help
87	p	"Request resources and services, including group study rooms, laptops, documents, and books"	1	TRUE	Help
106	ul	News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:	1	TRUE	Help
107	li	News	1	TRUE	Help
116	a	New Database: Access World News	1	TRUE	Help
120	a	YouTube	1	TRUE	Help
121	div	å© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S	1	TRUE	Help
128	a	Privacy Policy	1	TRUE	Help
130	a	Mobile Site	1	TRUE	Help
136	div	montana.summon.serialssolutions.com/advanced/	1	FALSE	Help
137	img	s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png	1	FALSE	Help
69	a	FIND	397	TRUE	Services
61	input	s.q	323	TRUE	Services
67	a	lib.montana.edu/find/	106	TRUE	Services
62	button	Search	85	TRUE	Services
98	a	Hours	81	TRUE	Services
78	a	REQUEST	57	TRUE	Services
129	area	Montana State University - Home	49	FALSE	Services
87	a	SERVICES	45	TRUE	Services
96	a	News	24	TRUE	Services
76	a	lib.montana.edu/request/	22	TRUE	Services
64	a	Advanced Search	19	TRUE	Services
85	a	lib.montana.edu/interact/	18	TRUE	Services
30	a	slideshow-right	14	TRUE	Services
119	a	About MSU Library	9	TRUE	Services
50	span	nav-item-dot	8	TRUE	Services
115	a	YouTube	7	TRUE	Services
6	a	Ask A Librarian	6	TRUE	Services
122	a	Contact Us	6	TRUE	Services
40	a	nav-item	5	TRUE	Services
48	a	nav-item	5	TRUE	Services
107	a	6/17 Library Workshop: EndNote Web Basics	5	TRUE	Services
44	a	nav-item	4	TRUE	Services
59	div	Search	4	TRUE	Services
46	span	nav-item-dot	3	TRUE	Services
58	img	label for catsearch	3	TRUE	Services
60	form	Search	3	TRUE	Services
63	div	Advanced Search	3	TRUE	Services
128	div	"Explore the world, explore the pastScience & Natural History Filmmaking ArchiveMSU School of Film &"	3	FALSE	Services
3	img	Montana State University in Bozeman	2	TRUE	Services
8	div	logo-ikd	2	TRUE	Services
15	p	Montana State University Historical Photographs	2	TRUE	Services
29	a	slideshow-left	2	TRUE	Services
38	span	nav-item-dot	2	TRUE	Services
73	p	"Find research materials, including articles, books, databases, journals, and course reserves"	2	TRUE	Services
105	a	6/17 Library Workshop: Zotero Basics	2	TRUE	Services
114	a	Facebook	2	TRUE	Services
125	a	Mobile Site	2	TRUE	Services
14	div	Montana State University Historical Photographs	1	TRUE	Services
18	p	Indian Peoples of the Northern Great Plains	1	TRUE	Services
19	div	Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal	1	TRUE	Services
25	a	Schedule a meeting	1	TRUE	Services
36	a	nav-item	1	TRUE	Services
42	span	nav-item-dot	1	TRUE	Services
55	div	Search Advanced Search	1	TRUE	Services
91	p	"Learn about the library and meet with us for research assistance, writing help, and tech support"	1	TRUE	Services
100	a	Twitter	1	TRUE	Services
101	ul	News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:	1	TRUE	Services
113	a	Twitter	1	TRUE	Services
116	div	Â© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S	1	TRUE	Services
130	div	lib.montana.edu/interact/	1	FALSE	Services
131	center	lib.montana.edu/hours/	1	FALSE	Services
132	font	ì§€ì €ê·€ë‹¤	1	FALSE	Services
133	a	6/18 Excel 2010: Formulas and Functions [webinar]	1	FALSE	Services
